tensor(0.0334, device='cuda:0', dtype=torch.float64) -0.17364502
tensor(0.0332, device='cuda:0', dtype=torch.float64) -0.3873825
tensor(0.0724, device='cuda:0', dtype=torch.float64) 0.087999344
tensor(0.0619, device='cuda:0', dtype=torch.float64) 0.07395363
tensor(0.0430, device='cuda:0', dtype=torch.float64) -0.45777893
tensor(0.0528, device='cuda:0', dtype=torch.float64) -0.32250214
tensor(0.0626, device='cuda:0', dtype=torch.float64) -0.024528503
tensor(0.0039, device='cuda:0', dtype=torch.float64) -0.07778549
tensor(0., device='cuda:0', dtype=torch.float64) -0.41968536
tensor(0.0496, device='cuda:0', dtype=torch.float64) -0.06286621
tensor(0.0430, device='cuda:0', dtype=torch.float64) 0.043296814
tensor(0.0136, device='cuda:0', dtype=torch.float64) 0.033373356
tensor(0.0234, device='cuda:0', dtype=torch.float64) 0.1289339
tensor(0.0332, device='cuda:0', dtype=torch.float64) 0.1937542
tensor(0.0036, device='cuda:0', dtype=torch.float64) -0.098594666
tensor(0.0207, device='cuda:0', dtype=torch.float64) 0.067780495
tensor(0.1204, device='cuda:0', dtype=torch.float64) -0.5329056
tensor(0.0517, device='cuda:0', dtype=torch.float64) -0.013663292
tensor(0.0625, device='cuda:0', dtype=torch.float64) -0.044138074
tensor(0., device='cuda:0', dtype=torch.float64) -0.059430122
tensor(0.2452, device='cuda:0', dtype=torch.float64) -0.13256073
tensor(0.2849, device='cuda:0', dtype=torch.float64) -0.075553894
tensor(0.0128, device='cuda:0', dtype=torch.float64) -0.19511032
tensor(0.0789, device='cuda:0', dtype=torch.float64) -0.28471375
tensor(0.1251, device='cuda:0', dtype=torch.float64) -0.19979095
tensor(0.1024, device='cuda:0', dtype=torch.float64) -0.09290886
tensor(0.0409, device='cuda:0', dtype=torch.float64) -0.036292076
tensor(0.0043, device='cuda:0', dtype=torch.float64) -0.18737411
tensor(0.0708, device='cuda:0', dtype=torch.float64) -0.11130905
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.06077385
tensor(0., device='cuda:0', dtype=torch.float64) -0.12900925
tensor(0.0292, device='cuda:0', dtype=torch.float64) -0.25139618
tensor(0.0986, device='cuda:0', dtype=torch.float64) -0.098134995
tensor(0.0069, device='cuda:0', dtype=torch.float64) -0.10039902
tensor(0.0330, device='cuda:0', dtype=torch.float64) -0.22631836
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.20747757
tensor(0.0229, device='cuda:0', dtype=torch.float64) -0.62794495
tensor(0.0265, device='cuda:0', dtype=torch.float64) -0.26436615
tensor(0.0311, device='cuda:0', dtype=torch.float64) -0.110889435
tensor(0.0152, device='cuda:0', dtype=torch.float64) -0.20421982
tensor(0.0081, device='cuda:0', dtype=torch.float64) -1.937439
tensor(0.0465, device='cuda:0', dtype=torch.float64) -2.638855
tensor(0.0544, device='cuda:0', dtype=torch.float64) -1.2140656
tensor(0.0987, device='cuda:0', dtype=torch.float64) -0.38105774
tensor(0.0920, device='cuda:0', dtype=torch.float64) -0.07148552
tensor(0., device='cuda:0', dtype=torch.float64) -0.23561478
tensor(0.0250, device='cuda:0', dtype=torch.float64) -0.5824585
tensor(0.0419, device='cuda:0', dtype=torch.float64) -0.19307137
tensor(0.0315, device='cuda:0', dtype=torch.float64) -0.23820496
tensor(0.0118, device='cuda:0', dtype=torch.float64) -0.56069946
tensor(0.0353, device='cuda:0', dtype=torch.float64) -0.04411316
tensor(0.0256, device='cuda:0', dtype=torch.float64) -0.13342667
tensor(0.0396, device='cuda:0', dtype=torch.float64) -0.07427406
tensor(0.0961, device='cuda:0', dtype=torch.float64) -0.26358032
tensor(0.0758, device='cuda:0', dtype=torch.float64) -0.18800354
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.07644653
tensor(0.0148, device='cuda:0', dtype=torch.float64) -0.36746025
tensor(0.0615, device='cuda:0', dtype=torch.float64) -0.14683533
tensor(0.0545, device='cuda:0', dtype=torch.float64) -0.18725204
tensor(0.1731, device='cuda:0', dtype=torch.float64) -0.2857666
tensor(0., device='cuda:0', dtype=torch.float64) -0.1807251
tensor(0.0822, device='cuda:0', dtype=torch.float64) -0.47118378
tensor(0.0679, device='cuda:0', dtype=torch.float64) -0.4287796
tensor(0.0050, device='cuda:0', dtype=torch.float64) -0.14753723
tensor(0.4191, device='cuda:0', dtype=torch.float64) -0.3217163
